Symbol,Company,Earnings Date,EPS Estimate,Reported EPS,Surprise (%),Earnings_Date,EPS_Estimate,Reported_EPS,Surprise_Pct,Date,Close,High,Low,Open,Volume,2_day_return
AMZN,"Amazon.com, Inc.","April 26, 2000 at 12 AM",-0.02,-0.02,+3.79,2000-04-26 00:00:00,-0.02,-0.02,0.0379,2000-04-26,2.674999952316284,2.871875047683716,2.6226561069488525,2.6656250953674316,240128000.0,0.03154211011409069
AMZN,"Amazon.com, Inc.","July 26, 2000 at 12 AM",-0.02,-0.02,+6.2,2000-07-26 00:00:00,-0.02,-0.02,0.062,2000-07-26,1.803125023841858,1.8359379768371582,1.703125,1.7531249523162842,310956000.0,-0.16811092954386464
AMZN,"Amazon.com, Inc.","October 24, 2000 at 12 AM",-0.01,-0.01,+12.95,2000-10-24 00:00:00,-0.01,-0.01,0.1295,2000-10-24,1.478124976158142,1.693750023841858,1.4406249523162842,1.493749976158142,273532000.0,0.24735731398854344
AMZN,"Amazon.com, Inc.","January 30, 2001 at 12 AM",-0.01,-0.01,+2.57,2001-01-30 00:00:00,-0.01,-0.01,0.025699999999999997,2001-01-30,0.9468749761581421,1.0343749523162842,0.9335939884185791,1.0281250476837158,245466000.0,-0.14191416981295268
AMZN,"Amazon.com, Inc.","April 24, 2001 at 12 AM",-0.01,-0.01,+17.39,2001-04-24 00:00:00,-0.01,-0.01,0.1739,2001-04-24,0.7839999794960022,0.8399999737739563,0.7739999890327454,0.8220000267028809,141652000.0,-0.01594386276273463
AMZN,"Amazon.com, Inc.","July 23, 2001 at 12 AM",-0.01,-0.01,+27.14,2001-07-23 00:00:00,-0.01,-0.01,0.27140000000000003,2001-07-23,0.8015000224113464,0.8565000295639038,0.7979999780654907,0.8510000109672546,173278000.0,-0.28197130960436423
AMZN,"Amazon.com, Inc.","October 23, 2001 at 12 AM",-0.01,-0.01,+0.25,2001-10-23 00:00:00,-0.01,-0.01,0.0025,2001-10-23,0.47749999165534973,0.47999998927116394,0.4424999952316284,0.4625000059604645,244528000.0,-0.1863874098510938
AMZN,"Amazon.com, Inc.","January 23, 2003 at 12 AM",0.01,0.01,+32.87,2003-01-23 00:00:00,0.01,0.01,0.3287,2003-01-23,1.0894999504089355,1.1019999980926514,1.0575000047683716,1.0770000219345093,219960000.0,-0.0004588928711638518
AMZN,"Amazon.com, Inc.","January 27, 2004 at 12 AM",0.01,0.01,+0.21,2004-01-27 00:00:00,0.01,0.01,0.0021,2004-01-27,2.7869999408721924,2.88700008392334,2.7829999923706055,2.8364999294281006,259282000.0,-0.11697164769312696
AMZN,"Amazon.com, Inc.","April 22, 2004 at 12 AM",0.01,0.01,+16.87,2004-04-22 00:00:00,0.01,0.01,0.16870000000000002,2004-04-22,2.443000078201294,2.4549999237060547,2.2945001125335693,2.297499895095825,315964000.0,-0.032951339872358765
